	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0	0	8.71E-05	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0	0	0	0	0	4.48E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231	0	0	0	0	5.29E-05	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__	0.000996983	0.000876869	0	0.000231658	7.93E-05	0	0.000494951	0	0.001348474
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae];g__Candidatus Cardinium	0	0	0	0	0	0	0	4.37E-05	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Blattabacteriaceae;g__	0	0	0	0.000115829	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0	4.62E-05	0	0	0	0	0	0	9.46E-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__;g__	0.000409019	0.000184604	0.000108916	0.000301156	0.000581672	0.000515579	0.000445456	0.000545947	0.000449491
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__	5.11E-05	0.000184604	0	0.000370654	5.29E-05	2.24E-05	7.42E-05	4.37E-05	0.000378519
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];Other;Other	2.56E-05	0	0	0	0	0	2.47E-05	2.18E-05	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__;g__	0.000153382	4.62E-05	4.36E-05	0	5.29E-05	6.72E-05	9.90E-05	0.000371244	7.10E-05
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;Other	0.000434583	4.62E-05	0	6.95E-05	0.000132198	0	9.90E-05	0.000174703	0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	0.00194284	0.00230755	0.000261398	0.001528946	0.001084025	0.000784577	0.001757078	0.001594165	0.001679678
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Niastella	0	0	4.36E-05	4.63E-05	0	0	0	0	0
k__Bacteria;p__Chlorobi;Other;Other;Other;Other	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__;o__;f__;g__	0.000409019	0.00046151	2.18E-05	0.000138995	7.93E-05	0.000201748	0.000222728	0.000174703	0.000141945
k__Bacteria;p__Chlorobi;c__BSV26;o__A89;f__;g__	0	0	0	0.000185327	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__BSV26;o__PK329;f__;g__	0	0	2.18E-05	0.00027799	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__SJA-28;o__;f__;g__	0	0	0	0.000463317	0	0	0	0	0.000141945
k__Bacteria;p__Chloroflexi;Other;Other;Other;Other	2.56E-05	0.000692265	8.71E-05	0.000138995	0.000211517	0.000224165	0	0.000174703	0.000236574
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;Other	0	0	0.000370314	0	2.64E-05	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__Anaerolinea	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__;g__	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__H39;f__;g__	0	0	0	9.27E-05	0	0	0	0	4.73E-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__	0.000306764	0	0	0	0	0	7.42E-05	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__oc28;g__	0.001022547	0.001153775	0.00041388	0.000926634	0.000264396	4.48E-05	7.42E-05	0	0.001064585
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__WCHB1-50;f__;g__	0	0	0.000108916	2.32E-05	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12;f__;g__	0	9.23E-05	6.53E-05	0.000393819	0	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__;g__	0	0	0.000130699	4.63E-05	2.64E-05	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__;g__	0	0.000507661	0.000152482	0.000440151	0	2.24E-05	0	0	0.000212917
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;Other;Other;Other	0.003297715	0.004384346	0.003376391	0.005096486	0.004468299	0.003609056	0.002326272	0.000611461	0.006553111
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__;f__;g__	0.000178946	0.000507661	0.000108916	0.000393819	0.000211517	0.000224165	2.47E-05	0	0.001253844
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__B12-WMSP1;f__;g__	0.000102255	0.000230755	2.18E-05	9.27E-05	0.000185077	6.72E-05	4.95E-05	4.37E-05	2.37E-05
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Elev-1554;f__;g__	2.56E-05	9.23E-05	4.36E-05	0.00027799	0.000132198	0.000112082	7.42E-05	0	0.00018926
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9;f__;g__	5.11E-05	0.000738416	0.000501013	0.000115829	0.000634551	0.000201748	7.42E-05	4.37E-05	0.000686066
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;Other	0	0.000184604	0.000326748	0.000347488	0.000608112	0.000134499	0.000247476	8.74E-05	0.000567779
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__	0.001022547	0.001892191	0.001633738	0.00206176	0.001348422	0.000986326	0.000593942	0.000152865	0.00295718
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__FFCH10602	0.000869165	0.000738416	6.53E-05	0.000254824	0	0	0	0	0.000236574
